"Image","Name","Price","Discount","Rating"
"https://images.meesho.com/images/products/62030678/jwyz8_512.jpg","Fancy Glamorous Women Dresses","₹1318","7%","3.5"
"https://images.meesho.com/images/products/62678035/kbqau_512.jpg","Women's Long Gown","₹467","18%","3.8"
"https://images.meesho.com/images/products/62632723/jozzj_512.jpg","TRENDY WOMEN FIT AND FLARE MULTICOLOR MAXI DRESSES","₹288","26%","3.7"
"https://images.meesho.com/images/products/62747829/blzcr_512.jpg","One  Dress","₹495","17%","NULL"
"https://images.meesho.com/images/products/62680534/voecw_512.jpg","R2D Women's And Girl's Printed Shoulder Strap Bodycon Maxi Dress","₹338","23%","3.9"
"https://images.meesho.com/images/products/62222799/8g9fy_512.jpg","maxi dress","₹628","14%","4.0"
"https://images.meesho.com/images/products/62636429/l1khs_512.jpg","Classic Modern Women Dresses(Combo Pack Of 2)","₹367","21%","3.8"
"https://images.meesho.com/images/products/62360634/a52pu_512.jpg","women's A-line solid dress","₹317","24%","3.9"
"https://images.meesho.com/images/products/62503311/i95zb_512.jpg","Maxi Dress","₹518","16%","4.0"
"https://images.meesho.com/images/products/62675915/qpnay_512.jpg","Stylish Ravishing Women Dresses","₹237","30%","3.7"
"https://images.meesho.com/images/products/61681195/h3vjm_512.jpg","STRIPED FRILLS Dresses","₹675","13%","NULL"
"https://images.meesho.com/images/products/62701385/oqvuh_512.jpg","maxidress","₹628","14%","3.7"
"https://images.meesho.com/images/products/62708450/mlczy_512.jpg","KANAK ENTERPRISE TRENDY SMART WESTERN WEAR DRESSES","₹547","15%","3.5"
"https://images.meesho.com/images/products/62254723/gntn8_512.jpg","dress","₹599","14%","NULL"
"https://images.meesho.com/images/products/62701834/fdhux_512.jpg","Women's Dress","₹467","18%","3.6"
"https://images.meesho.com/images/products/62157049/tccsy_512.jpg","YAGNIK SAREE RAYON BUTTON FOR WOMEN WEAR","₹667","13%","3.8"
"https://images.meesho.com/images/products/62707363/1xlxd_512.jpg","Women Wrap Shrug Red Dress","₹393","20%","NULL"
"https://images.meesho.com/images/products/62715920/mcmgp_512.jpg","kurtis","₹127","30%","3.8"
"https://images.meesho.com/images/products/62700085/qn54x_512.jpg","R K Textiles Women Dress","₹367","21%","3.8"
"https://images.meesho.com/images/products/62709630/bodqq_512.jpg","Trendy Fabulous Women Kurti","₹317","24%","4.1"
"https://images.meesho.com/images/products/62707888/ulcz3_512.jpg","Trendy Sensational Women Dresses","₹967","9%","NULL"
"https://images.meesho.com/images/products/62157209/mcvnc_512.jpg","Women's Western Party Wear Multicolor Fit And Flare Sleeveless (Inside Sleeve Attached) Yellow and Black Dress(Combo Pack Of 2)","₹367","21%","3.8"
"https://images.meesho.com/images/products/62731007/2mp9k_512.jpg","Women's Dress","₹467","18%","3.6"
"https://images.meesho.com/images/products/62732311/ksp9i_512.jpg","stylish wollen plazo Kurta set","₹517","16%","3.7"
"https://images.meesho.com/images/products/62699681/ph2ly_512.jpg","I KHODAL TRADING Women's Crepe Western Dress","₹548","15%","3.8"
"https://images.meesho.com/images/products/62698649/ayaav_512.jpg","maxi dress","₹628","14%","3.7"
"https://images.meesho.com/images/products/62154039/gkrnm_512.jpg","Fancy Graceful Women Dresses","₹967","9%","NULL"
"https://images.meesho.com/images/products/62479339/eikhz_512.jpg","Stylish Elegant Women Dresses","₹367","21%","4.0"
"https://images.meesho.com/images/products/62362041/vrzkv_512.jpg","Classic Fabulous Women Dresses","₹467","18%","2.9"
"https://images.meesho.com/images/products/62709429/1afsl_512.jpg","EMBRODIERY FULL DESS","₹317","24%","3.7"
"https://images.meesho.com/images/products/62710159/ff63n_512.jpg","KANAK ENTERPRISE TREMENDOUS WESTERN WEAR DRESSES","₹547","15%","3.5"
"https://images.meesho.com/images/products/62715943/poezk_512.jpg","WESTERN FOR WOMAN","₹413","19%","3.6"
"https://images.meesho.com/images/products/62152125/9pgcx_512.jpg","The Heart Of Fashion Women's And Girl's Printed Bodycon Maxi Dress","₹338","23%","4.0"
"https://images.meesho.com/images/products/62729397/dmcu2_512.jpg","NEW DESIGNER MONSOON SPECIAL PRINTED Dresses Black","₹647","13%","NULL"
"https://images.meesho.com/images/products/62720248/jug1a_512.jpg","Fashion Villa Women Skater Black Dress","₹367","21%","3.6"
"https://images.meesho.com/images/products/62183979/toeio_512.jpg","Trendy Fabulous Women Dresses","₹349","22%","NULL"
"https://images.meesho.com/images/products/62717192/f0ehs_512.jpg","Women's Dress","₹467","18%","3.6"
"https://images.meesho.com/images/products/62703247/snjdu_512.jpg","Women's Dress","₹467","18%","3.6"
"https://images.meesho.com/images/products/62708043/aidnd_512.jpg","NEW PARTY WEAR STYLIST FASHION SKATER ONE PIECE LOW PRICE LATEST CASUAL DRESSES FOR WOMEN INZ-062","₹340","23%","NULL"
"https://images.meesho.com/images/products/62729540/wavre_512.jpg","Full Trendy Jacquard Women's Georgette Long Gown Pink","₹547","15%","NULL"
